# Created at 2018-07-07 21:49:54
# Connection parameters.
# Layer1-1:150 Layer1-2:230 Layer2-2:350 Layer2-3:60
# Layer3-3:60 Layer3-4:10 Layer4-4:16
# Connection Num.
# Layer1-1:50 Layer1-2:40 Layer2-2:10 Layer2-3:41
# Layer3-3:14 Layer3-4:10 Layer4-4:0
# Lowest level starting ID, total router number
48,124
# NodeID, x_pos, y_pos, degree
0,-8665,4122,8
1,-9103,2983,3
2,-7400,4078,4
3,-8128,2840,4
4,-9948,4477,5
5,-9915,1940,1
6,-150,5492,6
7,-4325,-2290,4
8,-5840,-3467,1
9,-17,5150,2
10,857,5003,7
11,234,4886,5
12,3743,5623,5
13,1766,5960,4
14,1323,4199,2
15,1011,5560,3
16,504,5251,4
17,2885,4198,3
18,2492,6099,2
19,-345,4063,1
20,2076,5270,2
21,1077,6008,2
22,13966,3565,1
23,13623,3421,2
24,7713,2852,2
25,12695,3762,7
26,10681,-626,2
27,11644,3974,3
28,12145,3116,2
29,11415,2233,4
30,10048,1366,4
31,12153,2506,1
32,10578,2098,1
33,12095,1459,1
34,10166,315,1
35,1829,-3394,1
36,4668,2466,1
37,-8437,3371,4
38,-11211,3344,2
39,-8301,3996,5
40,-7518,3996,1
41,-8085,3523,2
42,-8304,4231,7
43,-10500,3974,1
44,-12267,4552,2
45,-9020,3862,2
46,-8679,3614,2
47,-7938,4360,1
48,1421,4161,3
49,-8769,3600,3
50,-127,5325,1
51,-8088,3511,4
52,2872,4156,1
53,-757,5002,2
54,10047,1372,1
55,-8437,3374,3
56,2474,6111,2
57,-8321,4236,5
58,11408,2202,2
59,11921,4161,1
60,234,4883,2
61,3188,6014,3
62,1721,5742,3
63,1529,5867,3
64,-8316,4233,6
65,-4297,-2355,1
66,889,5067,1
67,494,5253,4
68,-8272,4224,13
69,12664,3804,1
70,-9871,4414,1
71,-140,5492,5
72,-9383,4951,1
73,-8687,4072,5
74,873,4725,6
75,-8322,4053,7
76,-12273,4531,1
77,-7922,55,1
78,1078,6001,4
79,1447,4125,3
80,-4317,-2283,2
81,876,4723,1
82,-8432,3351,2
83,-748,4940,2
84,1403,4132,2
85,-8264,4215,3
86,1089,6005,3
87,1015,6033,1
88,191,4930,1
89,-8739,3575,1
90,3178,6024,1
91,-8300,4247,7
92,-8289,4160,3
93,494,5260,2
94,220,4900,1
95,1049,4665,1
96,-810,4946,1
97,-8085,3526,3
98,-8294,4209,6
99,-43,5390,1
100,1714,5744,1
101,-8089,3526,2
102,2600,5208,1
103,11399,2214,1
104,1440,4133,3
105,-8470,4209,2
106,493,5246,5
107,-10218,3908,1
108,-777,4930,1
109,491,5235,2
110,1065,5993,6
111,-757,5002,3
112,1069,6004,3
113,-8319,4326,3
114,2462,6132,2
115,-4310,-2287,1
116,-8479,4214,1
117,-750,4987,1
118,-761,4917,2
119,-8303,4211,2
120,525,5232,1
121,-8432,3334,1
122,1078,5983,1
123,-8314,4117,1
# Links
0,1
0,2
1,3
0,4
1,5
2,6
3,7
3,8
6,9
6,10
9,11
10,12
10,13
10,14
10,15
10,16
14,17
13,18
11,19
13,20
15,21
12,22
12,23
12,24
23,25
25,2
24,26
25,27
25,28
27,29
26,30
30,6
28,31
29,32
29,33
30,34
7,35
17,36
3,37
4,38
0,39
2,40
37,41
39,42
4,43
38,44
0,45
37,46
46,25
42,47
0,68
0,73
0,75
4,49
4,70
6,71
6,74
7,65
7,80
10,66
11,53
11,60
11,74
12,61
13,63
15,74
16,67
16,71
16,79
17,52
18,56
20,51
21,78
25,69
25,77
27,59
29,58
30,54
37,55
39,68
39,73
39,75
41,51
42,57
42,64
42,68
42,72
42,75
44,76
45,73
48,79
49,75
50,71
55,68
57,64
57,68
62,63
63,73
64,68
68,75
48,84
48,104
49,89
51,97
51,101
53,111
55,82
56,114
57,91
57,98
58,103
60,94
61,90
61,99
62,83
62,100
64,91
64,98
64,105
67,93
67,106
67,109
68,85
68,91
68,92
68,97
68,98
68,113
71,96
71,108
73,107
74,81
74,95
74,114
75,91
75,113
78,86
78,110
78,112
79,104
80,115
84,104
85,91
85,98
86,110
86,112
87,110
88,110
91,98
92,113
93,106
97,101
102,106
106,109
110,112
82,121
83,118
91,119
92,123
98,119
105,116
106,120
110,122
111,117
111,118
c
